age,annual_income,monthly_income,debt_to_income_ratio,credit_score,loan_amount,interest_rate,loan_term,installment,num_of_open_accounts,total_credit_limit,current_balance,delinquency_history,public_records,num_of_delinquencies,loan_paid_back,gender_Male,gender_Other,marital_status_Married,marital_status_Single,marital_status_Widowed,education_level_High School,education_level_Master's,education_level_Other,education_level_PhD,employment_status_Retired,employment_status_Self-employed,employment_status_Student,employment_status_Unemployed,loan_purpose_Car,loan_purpose_Debt consolidation,loan_purpose_Education,loan_purpose_Home,loan_purpose_Medical,loan_purpose_Other,loan_purpose_Vacation,grade_subgrade_A2,grade_subgrade_A3,grade_subgrade_A4,grade_subgrade_A5,grade_subgrade_B1,grade_subgrade_B2,grade_subgrade_B3,grade_subgrade_B4,grade_subgrade_B5,grade_subgrade_C1,grade_subgrade_C2,grade_subgrade_C3,grade_subgrade_C4,grade_subgrade_C5,grade_subgrade_D1,grade_subgrade_D2,grade_subgrade_D3,grade_subgrade_D4,grade_subgrade_D5,grade_subgrade_E1,grade_subgrade_E2,grade_subgrade_E3,grade_subgrade_E4,grade_subgrade_E5,grade_subgrade_F1,grade_subgrade_F2,grade_subgrade_F3,grade_subgrade_F4,grade_subgrade_F5
48,63805.67,5317.14,0.199,657,22298.23,14.12,36.0,763.4,7.0,61717.59,54000.53,4.0,0.0,4.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
36,47699.49,3974.96,0.218,806,23171.53,7.34,36.0,719.08,5.0,75385.65,47058.83,3.0,0.0,5.0,0,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
35,46684.56,3890.38,0.101,717,13275.22,13.28,36.0,449.09,6.0,36244.87,9210.08,0.0,0.0,0.0,1,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,55926.72,4660.56,0.088,727,20613.2,13.75,60.0,476.97,4.0,77521.8,6832.02,0.0,0.0,2.0,1,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,13295.77,1107.98,0.117,623,13225.93,15.11,36.0,459.19,4.0,12599.76,8654.39,3.0,0.0,3.0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
64,76626.81,6385.57,0.154,750,8606.43,11.97,36.0,285.73,8.0,115966.9,6219.9,3.0,0.0,4.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75,76748.44,6395.7,0.163,759,2284.88,10.14,36.0,73.88,5.0,116481.63,42562.91,1.0,0.0,1.0,1,True,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
72,25153.1,2096.09,0.04,719,17789.74,14.53,36.0,612.6,5.0,40551.35,12079.77,2.0,0.0,2.0,1,True,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23,6018.9,501.58,0.104,602,26387.55,16.3,36.0,931.62,5.0,9863.04,9349.22,0.0,0.0,1.0,0,True,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
57,80634.33,6719.53,0.241,693,22884.38,8.01,60.0,464.12,4.0,76328.19,53751.23,5.0,0.0,6.0,1,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71,6969.14,580.76,0.206,727,23939.96,10.73,60.0,517.29,4.0,8478.63,496.35,4.0,0.0,5.0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
27,45571.44,3797.62,0.143,714,8316.32,11.87,60.0,184.45,5.0,70307.77,9683.34,0.0,0.0,1.0,1,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
41,27707.6,2308.97,0.069,673,10351.45,14.6,36.0,356.81,8.0,35407.59,25604.13,2.0,0.0,2.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,25314.19,2109.52,0.107,608,21421.74,14.44,60.0,503.35,4.0,24710.54,7157.97,1.0,0.0,2.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
59,28021.38,2335.12,0.183,697,10606.79,12.62,36.0,355.45,7.0,33526.47,1683.26,3.0,0.0,3.0,0,True,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
38,39324.09,3277.01,0.171,593,15284.49,16.08,36.0,537.96,7.0,46987.9,15402.09,3.0,0.0,3.0,1,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
24,10032.47,836.04,0.098,643,19958.98,13.91,60.0,463.48,10.0,15232.58,1401.49,2.0,0.0,2.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
45,32388.96,2699.08,0.44,598,18787.69,17.06,36.0,670.39,6.0,40836.89,32116.05,4.0,0.0,4.0,0,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
34,15417.43,1284.79,0.09,665,500.0,13.79,36.0,17.04,7.0,26456.98,3470.3,4.0,0.0,7.0,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
70,26839.94,2236.66,0.039,658,33869.0,16.64,36.0,1201.46,4.0,38585.5,20053.96,2.0,0.0,3.0,1,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29,40020.77,3335.06,0.073,655,23131.95,14.15,60.0,540.04,5.0,48608.42,3133.64,1.0,0.0,1.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
46,61428.94,5119.08,0.294,580,2855.15,12.38,36.0,95.35,5.0,40047.57,34659.95,3.0,0.0,4.0,0,False,False,False,True,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
73,23364.87,1947.07,0.098,785,19723.17,11.29,60.0,431.69,3.0,17727.96,2849.65,2.0,0.0,3.0,1,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
22,106317.95,8859.83,0.106,648,9020.84,14.01,36.0,308.35,6.0,90450.17,4818.95,1.0,0.0,3.0,1,True,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
40,21245.26,1770.44,0.358,652,17952.71,13.23,36.0,606.89,8.0,30292.09,14114.73,6.0,0.0,7.0,1,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
48,21576.38,1798.03,0.147,587,22296.51,15.06,36.0,773.57,4.0,19484.61,15244.96,2.0,0.0,3.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
67,67313.56,5609.46,0.097,605,5207.8,12.71,60.0,117.72,7.0,83247.84,78866.44,2.0,0.0,2.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
27,31299.21,2608.27,0.221,707,13459.01,13.32,36.0,455.56,6.0,50804.49,35883.45,1.0,0.0,1.0,1,True,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
64,40464.81,3372.07,0.165,791,22931.8,8.65,36.0,725.5,7.0,50221.45,28359.14,0.0,1.0,0.0,1,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28,27080.78,2256.73,0.094,708,41679.04,11.1,60.0,908.28,2.0,34160.51,26050.45,1.0,0.0,2.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67,29019.47,2418.29,0.319,682,12183.94,10.89,36.0,398.25,3.0,45826.67,31322.33,3.0,0.0,4.0,1,True,False,False,True,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
55,44794.43,3732.87,0.09,733,2044.83,10.44,36.0,66.4,4.0,47189.73,11009.78,1.0,0.0,1.0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
34,77862.02,6488.5,0.052,662,6954.56,13.02,36.0,234.39,4.0,54523.53,38221.83,2.0,0.0,2.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
37,39502.26,3291.86,0.291,667,27060.87,14.72,36.0,934.37,7.0,55874.14,3656.01,4.0,1.0,6.0,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
56,46969.67,3914.14,0.033,732,17320.78,11.36,36.0,570.02,3.0,34070.61,10824.32,1.0,0.0,1.0,1,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
70,65446.1,5453.84,0.057,665,15303.67,11.86,36.0,507.28,3.0,60655.76,30859.15,3.0,0.0,3.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
60,27471.78,2289.32,0.075,798,30714.91,6.49,36.0,941.24,6.0,42637.75,16777.8,3.0,0.0,3.0,1,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,20180.13,1681.68,0.354,646,10419.48,10.43,60.0,223.59,8.0,27728.17,15539.42,3.0,0.0,3.0,1,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
22,19642.89,1636.91,0.085,645,20987.63,14.86,60.0,497.75,9.0,23777.34,11799.41,3.0,0.0,4.0,1,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
26,21341.14,1778.43,0.254,594,9605.16,14.35,36.0,329.92,9.0,27770.2,23301.94,2.0,0.0,2.0,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
74,19411.96,1617.66,0.118,686,11636.29,12.94,36.0,391.74,6.0,29245.95,13529.88,0.0,0.0,1.0,1,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62,70252.63,5854.39,0.293,816,14260.74,7.82,36.0,445.7,5.0,88552.78,10801.64,2.0,0.0,3.0,1,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
24,11724.35,977.03,0.272,796,4185.81,7.13,36.0,129.49,4.0,12229.12,4101.02,2.0,0.0,2.0,1,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74,51764.58,4313.72,0.2,714,3953.41,12.7,60.0,89.35,6.0,60246.37,3268.62,2.0,0.0,3.0,1,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
